id,loopAbbrv,vesselCode,vesselName,voy,protName,uvrn,arrDtlocAct,depDtlocAct,arrDtlocCos,depDtlocCos
NDU,Null
1,WAX4,ND3,APL CHARLESTON,04FFJW1MA/04FFKE1MA,Qingdao,,2023-07-19 18:42,2023-07-21 01:35,,
2,,ND3,,,Shanghai,,2023-07-22 14:24,2023-07-23 05:14,,
3,,ND3,,,Ningbo,,2023-07-25 03:34,2023-07-25 17:44,,
4,,ND3,,,Nansha,,2023-07-30 12:14,2023-07-30 23:54,,
5,,ND3,,,Tanjung Pelepas,,2023-08-05 01:48,2023-08-05 21:43,,
6,,ND3,,,Singapore,,2023-08-06 19:24,2023-08-07 09:24,,
7,,ND3,,,Cape Town,,,,2023-08-28 22:00,2023-08-31 12:00
8,,ND3,,,Walvis Bay,,,,2023-09-02 14:00,2023-09-03 09:00
9,,ND3,,,Pointe Noire,,,,2023-09-06 09:00,2023-09-08 11:00
10,,ND3,,,Luanda,,,,2023-09-09 05:00,2023-09-11 17:00
11,,ND3,,,Luanda,,,,2023-09-11 21:00,2023-09-14 03:00
12,,ND3,,,Cape Town,,,,2023-09-18 06:00,2023-09-20 06:00
13,,ND3,,,Singapore,,,,2023-10-05 03:00,2023-10-05 23:00
14,,ND3,,,Qingdao,,,,2023-10-14 01:00,2023-10-15 01:00
